date,startup,vertical,subvertical,city,investors,round,amount,month,year
2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,0.0,September,2020
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,66.938492898,January,2020
2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,152.69063862000002,September,2020
2020-01-01,Wealth Bucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,24.951,January,2020
2020-01-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.9706,January,2020
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.853,January,2020
2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1247.55,October,2020
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.902,December,2019
2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,582.19,June,2019
2019-03-12,Dhruva Spac,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,415.85,March,2019
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,0.0,December,2019
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.804,December,2019
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,249.51,December,2019
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,0.0,December,2019
2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,415.85,November,2019
2019-12-01,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,257.827,December,2019
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1247.55,November,2019
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.042062,November,2019
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.4755,November,2019
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,November,2019
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99.804,November,2019
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,49.902,November,2019
2019-11-01,Aye Financ,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,144.80949100499998,November,2019
2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.8121,December,2019
2019-11-01,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1122.795,November,2019
2019-11-11,BikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.4951,November,2019
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,0.0,November,2019
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,131.4086,November,2019
2019-11-15,Vogo Automotiv,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,690.311,November,2019
2019-05-11,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8317.0,May,2019
2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,374.265,April,2019
2019-10-01,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4865.445,October,2019
2019-01-10,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,January,2019
2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.4265,May,2019
2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.4461,April,2019
2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,49.902,April,2019
2019-04-09,3rdFli,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,41.585,April,2019
2019-04-09,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,149.706,April,2019
2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.317,April,2019
2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,83.17,April,2019
2019-04-09,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3742.65,April,2019
2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.585,March,2019
2019-01-08,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,0.0,January,2019
2019-01-08,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,41.585,January,2019
2019-01-08,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1164.38,January,2019
2019-01-08,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,316.71136,January,2019
2019-12-08,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1039.625,December,2019
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,91.487,August,2019
2019-08-13,Uniphor,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,424.167,August,2019
2019-03-08,Zendriv,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,307.729,March,2019
2019-03-08,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.1585,March,2019
2019-03-08,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,914.87,March,2019
2019-08-01,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,124.755,August,2019
2019-01-08,HungerBo,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,54.80903,January,2019
2019-03-08,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.317,March,2019
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,August,2019
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,582.19,August,2019
2019-07-08,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32436.3,July,2019
2019-07-01,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,158.023,July,2019
2019-07-01,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,4.1585,July,2019
2019-01-07,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.205965,January,2019
2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.317,March,2019
2019-01-07,Uniphor,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,316.71136,January,2019
2019-04-07,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.1585,April,2019
2019-10-07,BYJU'S,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1247.55,October,2019
2019-11-07,Mogli,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,499.02,November,2019
2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,133.072,October,2019
2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.82275,October,2019
2019-10-07,HealthAssur,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,4.1585,October,2019
2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.317,September,2019
2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.6581547850000002,August,2019
2019-05-06,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,424.167,May,2019
2019-04-06,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,83.17,April,2019
2019-03-06,Avail Financ,Finance,FinTech,Bengaluru,Matrix Partners,Series A,74.853,March,2019
2019-04-06,BharatP,Finance,FinTech,New Delhi,Insight Partners,Series B,623.775,April,2019
2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,49.902,April,2019
2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,4.1585,March,2019
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,49.902,June,2019
2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,125.6657115,June,2019
2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,3.5779734,October,2019
2019-10-06,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,128.9135,October,2019
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,432.484,June,2019
2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.808128,August,2019
2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,28.2778,April,2019
2019-06-05,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,June,2019
2019-06-05,Saahas Zero Wast,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.2241462,June,2019
2019-05-05,StyleDotM,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,May,2019
2019-01-05,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1247.55,January,2019
2019-05-01,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,415.85,May,2019
2019-08-05,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,424.167,August,2019
2019-08-05,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1164.38,August,2019
2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,95.6455,May,2019
2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,46.5752,May,2019
2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,374.265,April,2019
2019-12-04,Medlif,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,141.389,December,2019
2019-10-04,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.5818408049999997,October,2019
2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.869465875,April,2019
2019-12-04,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,0.0,December,2019
2019-11-04,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,29.1095,November,2019
2019-10-04,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,52.57025994000001,October,2019
2019-10-04,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,3.688547915,October,2019
2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.553319,October,2019
2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,49.902,November,2019
2019-04-19,My Healthcar,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.951,April,2019
2019-04-19,KrazyB,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,119.282414,April,2019
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,41.585,April,2019
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"1 Capita, Binny Bansal",Series A,24.951,April,2019
2019-01-02,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenturexe2x80x99s Angel Fund,Pre Series A,0.0,January,2019
2019-08-02,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,49.902,August,2019
2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.9902,February,2019
2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,831.7,February,2018
2019-03-01,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabetxe2x80x99s growth investment arm Capital G and Axis Bank",Series C,914.87,March,2019
2019-04-01,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,16.634,April,2019
2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,41.585,April,2019
2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,5.8219,April,2018
2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,415.85,January,2018
2018-12-01,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.6536,December,2018
2018-12-01,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.757324,December,2018
2018-04-12,Nagpur Wholesal,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.189331,April,2018
2018-06-12,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,0.0,June,2018
2018-06-12,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,29.1095,June,2018
2018-01-11,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.156021415,January,2018
2018-03-11,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UKxe2x80x99s Development Finance Institution and P Surendra Pai",Series D,64.864283,March,2018
2018-06-11,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,415.85,June,2018
2018-08-11,Mobile Premier Leagu,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.1585,August,2018
2018-08-11,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.317,August,2018
2018-12-11,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,8.317,December,2018
2018-12-11,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.8121,December,2018
2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8.317,November,2018
2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,4.1585,November,2018
2018-11-19,Automation Anywher,Automation,Robotics,California,SoftBank Vision Fund,Series B,2495.1,November,2018
2018-11-01,HealthifyM,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),49.902,November,2018
2018-01-11,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,0.648726,January,2018
2018-11-01,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,257.827,November,2018
2018-11-01,Skillbo,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0,November,2018
2018-03-11,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.2778,March,2018
2018-04-11,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbankxe2x80x99s DeepCore.",Series A,79.0115,April,2018
2018-05-11,InCred Financ,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,349.314,May,2018
2018-05-11,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.1389,May,2018
2018-10-01,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,91.487,October,2018
2018-04-10,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,68.1994,April,2018
2018-05-10,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24.951,May,2018
2018-11-10,Innov,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,33.268,November,2018
2018-12-10,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,122.09356,December,2018
2018-12-10,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,99.804,December,2018
2018-01-09,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,291.095,January,2018
2018-03-09,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partnersxe2x80x99 global fund.,Private Equity,41.585,March,2018
2018-03-09,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,53.14563,March,2018
2018-05-09,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,1307.4324,May,2018
2018-06-09,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,831.7,June,2018
2018-10-09,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,33.268,October,2018
2018-11-09,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, xc3x98rstead, and Tenaska",Private Equity,266.144,November,2018
2018-11-09,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,45.7435,November,2018
2018-11-09,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,41.585,November,2018
2018-12-09,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.nn",Private Equity,249.51,December,2018
2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,3.3268,January,2018
2018-08-01,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,58.219,August,2018
2018-03-08,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,0.99804,March,2018
2018-07-08,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,291.095,July,2018
2018-07-08,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,83.17,July,2018
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,33.268,August,2018
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,101.4674,August,2018
2018-08-08,Phone P,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,548.922,August,2018
2018-09-08,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,24.951,September,2018
2018-09-08,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,8.317,September,2018
2018-08-13,Inthr,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,33.268,August,2018
2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,66.536,August,2018
2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,48.65445,August,2018
2018-08-01,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,39.9216,August,2018
2018-08-01,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plcxc2xa0,Private Equity,49.902,August,2018
2018-08-01,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,118.68359,August,2018
2018-06-08,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,111.4478,June,2018
2018-06-08,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,34.9314,June,2018
2018-07-08,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,41.585,July,2018
2018-08-08,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,24.951,August,2018
2018-07-01,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,8.317,July,2018
2018-04-07,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,33.268,April,2018
2018-05-07,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,51.98125,May,2018
2018-06-07,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,64.0409,June,2018
2018-09-07,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,3.65948,September,2018
2018-09-07,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,9.1487,September,2018
2018-10-07,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,3.634529,October,2018
2018-10-07,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,41.585,October,2018
2018-10-07,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,41.585,October,2018
2018-11-07,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,4.1585,November,2018
2018-12-07,19th mil,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,1.49706,December,2018
2018-12-07,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,4.1585,December,2018
2018-07-13,MEngag,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,1.455475,July,2018
2018-07-17,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,74.853,July,2018
2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,413.3549,July,2018
2018-07-18,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,12.4755,July,2018
2018-07-19,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,831.7,July,2018
2018-01-07,PaySens,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,149.706,January,2018
2018-03-07,VTION,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,0.66536,March,2018
2018-03-07,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,3.626212,March,2018
2018-04-07,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed/ Angel Funding,1.49706,April,2018
2018-04-07,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,374.265,April,2018
